"Brand","Tar","Nicotine","Weight","CO","logTar"
"Alpine",14.1,0.86,0.9853,13.6,2.64617479738412
"Benson&Hedges",16,1.06,1.0938,16.6,2.77258872223978
"BullDurham",29.8,2.03,1.165,23.5,3.39450839351136
"CamelLights",8,0.67,0.928,10.2,2.07944154167984
"Carlton",4.1,0.4,0.9462,5.4,1.41098697371026
"Chesterfield",15,1.04,0.8885,15,2.70805020110221
"GoldenLights",8.8,0.76,1.0267,9,2.17475172148416
"Kent",12.4,0.95,0.9225,12.3,2.51769647261099
"Kool",16.6,1.12,0.9372,16.3,2.8094026953625
"L&M",14.9,1.02,0.8858,15.4,2.70136121295141
"LarkLights",13.7,1.01,0.9643,13,2.61739583283408
"Marlboro",15.1,0.9,0.9316,14.4,2.71469474382088
"Merit",7.8,0.57,0.9705,10,2.05412373369555
"MultiFilter",11.4,0.78,1.124,10.2,2.43361335540045
"NewportLights",9,0.74,0.8517,9.5,2.19722457733622
"Now",1,0.13,0.7851,1.5,0
"OldGold",17,1.26,0.9186,18.5,2.83321334405622
"PallMallLight",12.8,1.08,1.0395,12.6,2.54944517092557
"Raleigh",15.8,0.96,0.9573,17.5,2.76000994003292
"SalemUltra",4.5,0.42,0.9106,4.9,1.50407739677627
"Tareyton",14.5,1.01,1.007,15.9,2.67414864942653
"TRUE",7.3,0.61,0.9806,8.5,1.98787434815435
"ViceroyRichLight",8.6,0.69,0.9693,10.6,2.15176220325946
"VirginiaSlims",15.2,1.02,0.9496,13.9,2.72129542785223
"WinstonLights",12,0.82,1.1184,14.9,2.484906649788
